task ,trialCode,target,offset,dur1,onsetMask,catch,inPhase,corrResp,trialType,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
visE,VE_E_01,planeta.png,6,2,9,False,0,1,0,,,,,,,,
visE,VE_E_02,,4,1,6,True,-1,0,0,,,,,,,,
visE,VE_P_01,planeta.png,4,2,7,False,-1,1,1,,,,,,,,
visE,VE_P_02,,8,2,11,True,1,0,1,,,,,,,,
visE,VE_P_03,planeta.png,6,2,9,False,0,1,1,,,,,,,,
visE,VE_T_01,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_02,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_03,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_04,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_05,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_06,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_07,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_08,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_09,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_10,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_11,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_12,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_13,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_14,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_15,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_16,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_17,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_18,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_19,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_20,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_21,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_22,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_23,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_24,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_25,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_26,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_27,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_28,planeta.png,6,1,8,False,0,1,2,,,,,,,,
visE,VE_T_29,planeta.png,8,1,10,False,1,1,2,,,,,,,,
visE,VE_T_30,planeta.png,4,1,6,False,-1,1,2,,,,,,,,
visE,VE_T_31,,6,1,8,True,0,0,2,,,,,,,,
visE,VE_T_32,,8,1,10,True,1,0,2,,,,,,,,
visE,VE_T_33,,4,1,6,True,-1,0,2,,,,,,,,
visE,VE_T_34,,6,1,8,True,0,0,2,,,,,,,,
visE,VE_T_35,,8,1,10,True,1,0,2,,,,,,,,
visE,VE_T_36,,4,1,6,True,-1,0,2,,,,,,,,
